Start, Über1, Über2, Über3, Über4, Über5, Über6, Über7, Über8, Ziel, Länge in km, Verlinkung zum Fahrtenbuch
Leipzig, Brandis,,,,,,,, Naunhof, 51.7, http://digital.slub-dresden.de/werkansicht/dlf/16009/13/0/
Leipzig, Gross Dölzig,,,,,,,, Schkeuditz, 31.4, http://digital.slub-dresden.de/werkansicht/dlf/16009/13/0/
Leipzig, Eutritzsch, Hohenossig, Pröttitz, Crostitz, Crensitz, Gollmenz, Lindenhain, Wellaune, Düben, 33.9, http://digital.slub-dresden.de/werkansicht/?id=5363&tx_dlf%5Bid%5D=103042&tx_dlf%5Bpage%5D=28
Leipzig, Schkeuditz,,,,,,,,Halle,36.2,http://digital.slub-dresden.de/werkansicht/?id=5363&tx_dlf%5Bid%5D=174396&tx_dlf%5Bpage%5D=14
Leipzig, Delitzsch,,,,,,,, Dessau, 59, http://digital.slub-dresden.de/werkansicht/dlf/174396/14/0/
Leipzig, Wurzen, Oschatz, Meissen,,,,,, Dresden, 112, http://digital.slub-dresden.de/werkansicht/dlf/174396/16/0/
Leipzig, Borna, Frohburg, Penig,,,,,, Chemnitz, 77.4,http://digital.slub-dresden.de/werkansicht/dlf/174396/20/0/
Leipzig, Zwenkau, Pegau, Stössen,,,,,, Naumburg, 69.8, http://digital.slub-dresden.de/werkansicht/dlf/174396/22/0/
Leipzig, Markranstädt, Lützen,,,,,,, Weissenfels, 34.7, http://digital.slub-dresden.de/werkansicht/dlf/174396/25/0/
Leipzig, Landsberg,,,,,,,, Köthen, 58.9, http://digital.slub-dresden.de/werkansicht/dlf/174396/26/0/
Leipzig,,,,,,,,,Düben, 33.9, http://digital.slub-dresden.de/werkansicht/dlf/174396/27/0/
Leipzig, Taucha, Eilenburg,,,,,,, Torgau, 53.4, http://digital.slub-dresden.de/werkansicht/dlf/174396/28/0/
Leipzig, Grimma,,,,,,,, Oschatz, 63.2, http://digital.slub-dresden.de/werkansicht/dlf/174396/29/0/
Leipzig, Merseburg,,,,,,,, Artern, 83.6, http://digital.slub-dresden.de/werkansicht/dlf/174396/31/0/
